Company,City,Name,Date,Review
Группа Охранных Организаций Дружина,RND,Ольга С.,21 ноября 2019,"Позвонила в компанию по телефону, указанном на сайте, взял трубку человек, который не понял о чем я говорю. Потом перенаправил меня на менеджера, который объяснил, что трубку взял начальник пультовой охраны и он принимает только экстренные звонки. В итоге с менеджером приятно пообщались, договорились о визите мастера ко мне домой для оценки работ. Но все же клиентов надо сразу направлять на менеджера, а не на охранника."
Группа Охранных Организаций Дружина,RND,Владимир П.,7 апреля,"Заключил с ними договор на охрану моей квартиры. Времена сейчас не самые спокойные, а так я могу быть уверен, что я и моя семья (особенно дети) в безопасности. Тем более, что цены на их услуги вполне благоприятные!"
Группа Охранных Организаций Дружина,RND,Ольга Севостьянова,23 июля 2020,Оптимальное соотношение цены и качества. Довольно оперативное реагирование. Удобное смс оповещение.
Группа Охранных Организаций Дружина,RND,Blackinmann!)),12 августа,"Плюс, минус неплохая организация! Не хуже других!."
Группа Охранных Организаций Дружина,RND,Михаил Д.,25 ноября 2019,"Обратились в «Дружину» за физической охраной офисного здания. Заключили договор, начали работать. По цене немного выше, чем самим нанимать охранника - не через агентство, но надеемся, что компенсируется качеством работы!"
Группа Охранных Организаций Дружина,RND,El patron,10 сентября,"Серьёзная контора в принципе, а транспортная безопасность на воде вообще выше всяких похвал👍"
Группа Охранных Организаций Дружина,RND,doc,17 января 2020,"Постоянно стоит их машина на тротуаре, мешает проходу. Говорят, что стоит на въезде, но въезд от слова въезжать, но никак не парковаться на въезде."
Группа Охранных Организаций Дружина,RND,Евгений К.,9 декабря 2019,Посоветовал знакомый обратиться к этим ребятам за подключением видеонаблюдения. Сработали отлично!
Группа Охранных Организаций Дружина,RND,Александр А.,25 марта 2020,Тех отдел отличный
Группа Охранных Организаций Дружина,RND,Владимир С.,17 февраля 2020,Оперативная организация
Группа Охранных Организаций Дружина,RND,Елена У,21 ноября 2019,Хорошее агенство.
Сапсан,RND,Ирина К.,18 мая,Надежная компания. Предложили очень хорошие условия. Всё сделали качественно. Рекомендую!
Сапсан,RND,Ольга Панченко,14 июля 2020,"ООО Сапсан, отличные сотрудники, хорошие ребята ГБР, а главное весь коллектив вежливый, дружный, грамотный. Удачи ВАМ всем и во всем, хорошего роста фирме. С вами была Ольга😘"
Сапсан,RND,Артем Симашкевич,29 июля 2020,"Охранчюсь ими два года! Квартира, гараж и офис! По соотношению цена-качество в городе лучше не найдёте! Всегда приезжают даже когда случайно забудем сняться с охраны"
Святогор,RND,Денис П.,18 октября,"Позвонил и спросил, возьмут ли они под охрану объект с местонахождением в определённом посёлке рядом с Ростовом. Сказала «Да» девушка по телефону. Спросил про время прибытия группы, сказала, уточнит у кого-то и перезвонит. Уже и договор с другой охраной заключён, а она все звонит :-) в переносном смысле, Звонка я на самом деле так и не дождался."
Святогор,RND,Алсу Иванова,16 октября 2020,"Группа быстрого реогирования очень долго едит, когда ГБР приезжает то помощь уже не нужна а в ответ слышым "" а мы что мы торопились как могли"""
Святогор,RND,Борис Л.,24 декабря 2020,"Хорошая личная охрана, есть броне авто"
Святогор,RND,Алекс Иванов,11 апреля 2019,Отличное  охранное предприятие! Сотрудники профессионалы своего дела!
Святогор,RND,евгений л.,11 апреля 2019,лучший ЧОП. лучшая личная охрана и охрана мероприятий
Святогор,RND,Инна Черная,27 июня 2020,Все хорошо
ФГУП управление ведомственной охраны Министерства транспорта Российской Федерации Северо-Кавказский филиал,RND,Юлия А.,1 октября,"Хороший социальный пакет с дмс, стабильная заработная плата нормального размера, заботятся о детях сотрудников, дают путевки в санаторий, поздравляют с праздниками"
ФГУП управление ведомственной охраны Министерства транспорта Российской Федерации Северо-Кавказский филиал,RND,Wolf Rudolf,22 августа,"Получше относиться к людям, работающим в организации. Почаще стимулировать их труд. Помогать в решении их бытовых проблем."
ФГУП управление ведомственной охраны Министерства транспорта Российской Федерации Северо-Кавказский филиал,RND,Андрей Бородин,1 декабря 2020,"Отработал 12 лет с апреля 2007 по январь 2019г. , от стрелка до зам.начальника команды, прекрасный коллектив, сильная профсоюзная организация, требовательное но справедливое руководство филиала, попал под сокращение(очень печально) выплаты были сделаны в полном объеме."
ФГУП управление ведомственной охраны Министерства транспорта Российской Федерации Северо-Кавказский филиал,RND,Николай Кравченко,29 февраля 2020,"Очень компитентные руководители. Прием проводят по графику,объясняют доходчиво,инструктаж,выдача обмундирования с примеркой,последовательность оформления объясняют. Мне все понравилось!"
ФГУП управление ведомственной охраны Министерства транспорта Российской Федерации Северо-Кавказский филиал,RND,Михаил Павленко,16 июня 2020,"Плюсы: Государственная контора, белая зарплата, выдача обмундирования, каждый год медкомиссия и подтверждение квалификации иногда даже путевки в санаторий.        Минусы: зарплата маленькая, ответственность большая, отсутствие 13 зарплаты, несоблюдение графика выдачи путевок, никакой заботы о досуге личного состава."
